codigo;       DESCRIPCION ;            MARCA ;   CONTENIDO ;    UNIDADES POR CAJA ;  PRECIO POR CAJA;STOCK CAJA ;             AROMAS
1181;pasta dental fresh up x6;frehs up;130 gramos;6;$5.340;24;
1182;toalla humeda garffield;soft wipes;80 unidaes;12;$15.360;16;
1183;toalla cilicona wiinex cars;WINNEX;80 unidaes;12;$25.200;6;
1184;antigrasa doypack;EXCELL;500 ml;12;$10.080;13;
1185;multiusos limpiavidrios excell;EXCELL;500 ml;12;$10.080;14;
1186;pastillas para estanque x3;EXCELL;3 unidaes;24;$439.209;5;
1187;paño esponja premiun teddy;teddy;3 unidades;3;$780;20;
1188;nova ultra gigante 70;nova;70 metros;8;$16.500;8;
1189;confort noble de 23 metros;noble;packs x3;8;$8.890;434;
1190;confort elite 50 metros;elite;packs x2;8;$17.490;18;
1191;confort confort x50 metros;confort;packs x2;8;$16.250;16;
1192;confort suan 20 metros;suan;packs x6;8;$8.490;34;
1193;conforte ovella 22 metros;ovella;packs x6;8;$8.490;2;
1194;confort noble 22 metros;noble;packs x6;8;$9.890;30;
1195;conforte ovella de 50 metros;ovella;packs x4;8;$13.490;5;
1196;nova suan ultra x70;suan;70 metros;8;$13.690;13;
1197;nova ovella roja xl;ovella;100 metros;6;$7.500;7;
1198;servilleta nova pack familiar;nova ;300 unidaes;20;$21.000;5;
1199;nova clasica giganrte x70;nova ;70 metros;8;$13.690;189;
1200;nova clasica x3;nova ;packs x3;8;$6.490;70;
1201;nova ovella gigante de 100 metros;ovella;100 metros;6;$13.690;22;
1202;pañal babysec ;babysec;14 unidades;8;$20.500;56;
1203;pañal para adulto care up x16;care up;16 unidades;16;$9.500;19;
1204;pañal para adulto caree up x 20;care up;20 unidades;20;$11.990;10;
1205;sabanilla care up x8;care up;8 unidades;8;$4.290;8;
1206;aposito multiuso care up;care up;20 unidades;20;$2.790;10;
1207;paños amarillos;;360 unidades;1;$64.800;11;
