codigo,descripcion,marca,contenido,unidades_por_caja,precio_caja,stock,aromas
1073,PASTA DENTAL PEPSODENT INTEGRAL 18,PEPSODENT,90 GRAMOS,12,11400,4.0,
1074,SHAMPOO,ALGABO,930 ML,12,15160,2.0,
1075,BRIKS LAVALOZAS CONSENTRADO,BRIKS,2 LITROS,8,10320,3.0,
1076,LAVALOZAS DESENGRASANTE BOLSA,EXCELL,1 LITRO,12,7840,61.0,
1077,LAVALOZA DESENGRASANTE EXCELL,EXCELL,750 CC,12,15720,3.0,
1078,QUITA GRASA PROFECIONAL GATILLO,EXCELL,500 ML,12,21000,3.0,
1079,CLORO EN TABLETAS  TEDDY,TEDDY,1 KG,20,4250,20.0,
1080,PASTILLA DE CLORO GRANDE ,TEDDY,1 KG,6,3680,18.0,
1081,LIMPIAPISO AYE ,AYE,2 LITROS,6,5940,25.0,
1082,DESENGRASANTE AYE,AYE,1 LITRO,12,10680,2.0,
1083,LIMPIAPISO AYE ,AYE,900 ML,12,6240,19.0,
1084,DESENGRASANTE AYE GATILLO,AYE,1 LITRO,12,17880,5.0,
1085,REMOVEDOR DE SARRO AYE,AYE, 1 LITRO,12,10680,6.0,
1086,CERA PINTURA ROJA AYE,AYE,1 LITRO,12,10680,2.0,
1087,CERA PINTURA ROJA AYE,AYE,5 LITROS,1,2890,7.0,
1088,DESENGRASANTE AYE,AYE,5 LITROS,1,2890,53.0,
1089,DETERGENTE PERLADO AYE,AYE,5 LITROS,1,1590,107.0,
1090,DETERGENTE BRIKS,BRIKS,5 LITROS,1,3290,630.0,
1091,DETERGENTE ECONOMICO AYE,AYE,5 LITROS,1,1490,118.0,
1092,PAÑO  MICROFIBRA TEDDY,TEDDY,,25,10880,1.0,
1093,VALDE TRAPEADOR ,ULTRA CLEAN,,1,3600,15.0,
1094,BOLSA DE BASURA 80X110,WINNEX,,20,32800,4.0,
1095,DISCOS ACTVOS EXCELL,EXCELL,38 ML,0,20280,10.0,
1096,TRAPERO HUMEDO ABRILLANTADOR PISO FLOTANTE EXCELL,EXCELL,10 UNIDADES,10,31080,5.0,
1097,TRAPERO HUMEDO PISO FLOTANTE DESINFECTANTE EXCELL,EXCELL,10 UNIDADES,10,14300,77.0,
1098,TRAPERO HUMEDO CLASICO,EXCELL,10 UNIDADES,10,14300,102.0,
1099,DESODORANTE AMBIENTAL WINNEXS,WINNEX,400 ML,12,11640,20.0,
1100,DESODORANTE AMBEINTAL WINNEXS,WINNEXS,250 ML,12,17280,38.0,
1101,DESODORANTE AMBIENTAL AROM,AROM,225 GRAMOS,12,14280,48.0,
1102,TRAPERO HUMEDO 2 EN 1 [LIMPIADOR +ABRILLANTADOR ],EXCELL,10 UNIDADES,10,19500,7.0,
1103,CLORO GEL EXCELL,EXCELL,900 ML,12,12240,148.0,
1104,QUITAMANCHAS GATILLO,EXCELL,500 ML,12,18960,12.0,
1105,LIMPIADOR DE BAÑO ULTRA PAWER PRFESIONAL GATILLO,EXCELL,500 ML,12,19680,20.0,
1106,LAVALOZA RINSO,RINSO,750 ML,12,14840,27.0,
1107,LIMPIADOR CREMA EXCELL ,EXCELL,500 ML,12,15360,8.0,
1108,SUAVIZANTE PARA DILUIR EXCELL BOLSA,EXCELL,500 ML,12,21960,6.0,
1109,VANISH POLVO ,VANISH,30 GRAMOS,12,8400,72.0,
1110,LAVALOZA QUIX,QUIX,1.500 ML,8,21520,2.0,
1111,TOALLAS HUMEDAS BABYSEC,BABYSEC,40 UNIDADES,24,30960,3.0,
1112,TOALLAS LIMPIAMUEBLES WINNEXS,WINNEX,80UNIDADES,12,19200,5.0,
1113,CREMA CORPORAL HIDRATANTE ALGABO,ALGABO,400 ML,12,26640,9.0,
1114,BOLSA DE BASURA ULTRA CLEAN 105X150,ULTRA CLEAN,10 UNIDADES,10,28500,76.0,
1115,SHAMPOO BABY ALGABO,ALGABO,444 ML,12,16440,13.0,
1116,ACONDICIONADOR KIDS ALGABO ,ALGABO,350 ML,12,18000,5.0,
1117, BOLSA DE BASURA ULTRA CLEAN 70X90,ULTRA CLEAN,10 UNIDADES,50,34000,60.0,
1118,CIF CREMA MULTIUSO,CIF,750 MGRAMOS,12,14760,46.0,
1119,LIMPIAPISOS WINNEX :) :)  ;)  ;):):),WINNEX,900 ML,12,11160,79.0,
1120,TOALLAS FEMENINAS CARE UP NOCHES TRANQUILAS,CARE UP,16 TOALLAS ,12,18720,2.0,
1121,TOALLAS FEMENINAS ULTRAFINA CON ALAS,CARE UP,16 TOALLAS ,12,17160,2.0,
1122,TOALLAS HUMEDAS CARE UP,CARE UP,45 UNIDADES,24,21600,2.0,
1123,TOALLAS HUMEDAS DESINFEGTANTES TEDDY,TEDDY,50 UNIDADES,12,14880,1.0,
1124,COTONITO 200 UNID SOTF CLOUD,SOTF CLOUD,200 UNIDADES,48,950,144.0,
1125,COTONITO 100 UNID SOFT CLOUD,SOFTCLOUD,100 UNIDADES,48,690,288.0,
1126,COTONITOS 300 UNID SOFT CLOUD,SOFTCLOUD,300 UNIDADES,48,1150,240.0,
1127,DETERGENTE LIQUIDO POPEYE 3 LITROS,POPEYE,3 LITROS,4,38760,33.0,
1128,PILAS AA ENERGIZER,ENERGIZER,12,12,5880,6.0,
1129,LIMPIAPISOS EXCELL,EXCELL,900 ML,12,9120,125.0,
1130,PALA PLASTICA ULTRA CLEAN,ULTRA CLEAN,1,30,35700,2.0,
1131,escobillon economico uiltra clean x48 unid,ULTRA CLEAN,1,48,57120,1.0,
1132,escoba economica ultra clean x24 unid,ultra clena ,1,24,28560,11.0,
1133,bolsa de basura 90x120 excell,EXCELL,10 unidades,24,45360,5.0,
1134,limpiapisos virutex ,virutex,900 ml,12,11880,30.0,
1135,pasta dental cogate ,colgate,75 ml,12,11880,21.0,
1136,ENJUAGUE BUCAL FREHS,FRESH UP,1000 ML,6,28920,2.0,
1137,ENJUAGUE BUCAL FRESH UP,FRESH UP,500 ML,12,33480,1.0,
1138,ENJUAGUE BUCAL LISTERINE ,LISTERINE,180 ML,12,15480,7.0,
1139,DESODORANTE AMBIENTAL BRILLEX,BRILLEX,400 ML,12,11640,8.0,
1140,INSECTICIDA CASA JARDIN RAID,SC JHONSON,271 GRAMOS,12,35880,3.0,
1141,LIMPIA VIDRIOS Y SUPERFICIES WINNEX,WINNEX,650 ML,12,14760,7.0,
1142,REMOVEDOR REST A CLIN ,EXCELL,500 ML,14,25640,2.0,
1143,TOALLAS FEMENINAS NOCTURNA MAXI PRO ,LADYSOFT,10 UNIDADES,8,11920,1.0,
1144,TOALLAS FEMENINAS ULTRA DELGADA X8,NOSOTRAS,8 TOALLAS,30,21000,5.0,
1145,TOALLAS FEMENINAS ULTRADELGADA X16,LADYSOFT,16 TOALLAS ,12,18600,1.0,
